trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,model
DTF,AUS_2018,AUS,0.435995388,0.416257652,0.845042551,98,1,1,1001,CV1,GBLUP
DTF,AUS_2019,AUS,0.372806337,0.370601155,0.906520103,49,1,1,1001,CV1,GBLUP
DTF,PAK_2019,PAK,0.032509516,-0.033774269,0.560606597,44,1,1,1001,CV1,GBLUP
DTF,PAK_2020,PAK,0.377504525,0.377252895,0.837119525,56,1,1,1001,CV1,GBLUP
DTF,PAK_2021,PAK,0.371840081,0.33094203,0.881376322,52,1,1,1001,CV1,GBLUP
DTF,AUS_2018,AUS,0.174451211,0.134928885,0.73014536,98,1,2,1001,CV1,GBLUP
DTF,AUS_2019,AUS,0.059919858,0.286250234,0.883108909,43,1,2,1001,CV1,GBLUP
DTF,PAK_2019,PAK,0.141635373,0.128244089,0.850589169,39,1,2,1001,CV1,GBLUP
DTF,PAK_2020,PAK,0.263494645,0.264439424,0.802834912,48,1,2,1001,CV1,GBLUP
DTF,PAK_2021,PAK,0.205742312,0.250140105,0.813077083,45,1,2,1001,CV1,GBLUP
DTF,AUS_2018,AUS,0.196116146,0.24491002,0.737376592,98,1,3,1001,CV1,GBLUP
DTF,AUS_2019,AUS,0.089289191,-0.017044755,0.817394977,50,1,3,1001,CV1,GBLUP
DTF,PAK_2019,PAK,-0.174854344,-0.154430044,0.789133661,49,1,3,1001,CV1,GBLUP
DTF,PAK_2020,PAK,0.354817916,0.205596319,0.735474039,49,1,3,1001,CV1,GBLUP
DTF,PAK_2021,PAK,0.416896034,0.40201769,0.796544779,44,1,3,1001,CV1,GBLUP
DTF,AUS_2018,AUS,0.171533184,0.248958822,0.728169735,99,1,4,1001,CV1,GBLUP
DTF,AUS_2019,AUS,0.193695935,0.291500302,0.851366721,47,1,4,1001,CV1,GBLUP
DTF,PAK_2019,PAK,0.094776916,0.08440258,0.833742634,46,1,4,1001,CV1,GBLUP
DTF,PAK_2020,PAK,0.241256024,0.222635102,0.727217699,61,1,4,1001,CV1,GBLUP
DTF,PAK_2021,PAK,0.332623479,0.208682483,0.561706948,59,1,4,1001,CV1,GBLUP
DTF,AUS_2018,AUS,0.352602448,0.300859767,0.777956519,101,1,5,1001,CV1,GBLUP
DTF,AUS_2019,AUS,0.312692745,0.22290784,0.795823438,47,1,5,1001,CV1,GBLUP
DTF,PAK_2019,PAK,0.160301627,0.107408833,0.866336112,43,1,5,1001,CV1,GBLUP
DTF,PAK_2020,PAK,0.296705386,0.203204726,0.813542266,53,1,5,1001,CV1,GBLUP
DTF,PAK_2021,PAK,0.471131304,0.486217866,0.795857212,44,1,5,1001,CV1,GBLUP
DTF,AUS_2018,AUS,0.262394465,0.287645709,0.684061739,97,2,1,1002,CV1,GBLUP
