trait,location_year,location,pearson,spearman,ndcg_at_10,n_test_genotypes,iteration,fold,seed,cv_scheme,train_location
DTF,AUS_2018,AUS,0.288124239674263,0.33971017189114,0.772395609744259,102,1,1,1001,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.148358351252867,0.0131007293761879,0.743650355805986,42,1,1,1001,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.213575929632393,0.236282658216969,0.74259664689917,95,1,2,1001,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.323860078033862,0.429155349361668,0.911544045125684,51,1,2,1001,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.246359117566796,0.202182178015288,0.745185787147212,98,1,3,1001,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.14680979765455,0.301971562231697,0.912899338180941,52,1,3,1001,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.185535671209544,0.186405038119389,0.906440475119042,101,1,4,1001,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.288873242379002,0.267620976403445,0.960272206116863,42,1,4,1001,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.378485355232588,0.328059598794955,0.806354598802024,98,1,5,1001,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.145548677773692,0.2775552171392,0.900249576427217,49,1,5,1001,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.29994032833783,0.320180496560008,0.853305702708119,97,2,1,1002,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.256780546569292,0.260726505386916,0.825499319909497,54,2,1,1002,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.32560711866645,0.351077677431589,0.903428170641643,101,2,2,1002,CV1_AUS,AUS
DTF,AUS_2019,AUS,0.0658723052315534,0.088024090902528,0.742299573834568,41,2,2,1002,CV1_AUS,AUS
DTF,AUS_2018,AUS,0.322554685833478,0.292310830225406,0.76923644179207,101,2,3,1002,CV1_AUS,AUS
